2022-01-01,2022-01-01,21,0,0,21,0,發佈日期：2022-01-01 中央流行疫情指揮中心今(1)日公布國內新增21例COVID-19境外移入確定病例；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/mj5H52pb8ivr0RcjQ-N9cw?typeid=9
2022-01-02,2022-01-02,20,0,0,20,0,發佈日期：2022-01-02 中央流行疫情指揮中心今(2)日公布國內新增20例COVID-19境外移入確定病例；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/7wbCdR_N1PJc783mP_mtlQ?typeid=9
2022-01-03,2022-01-03,25,0,0,25,0,發佈日期：2022-01-03 中央流行疫情指揮中心今(3)日公布國內新增25例COVID-19境外移入確定病例；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/wPYoUO5Fv8bYEL0fGvlwrw?typeid=9
2022-01-04,2022-01-04,34,4,0,30,0,發佈日期：2022-01-04 中央流行疫情指揮中心今(4)日公布國內新增34例COVID-19確定病例，分別為4例(案17230、案17238-17240)本土及30例境外移入，其中案17230為昨(3)日公布之尚未取號本土個案；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/NQf6AVY3GBaKX9pYZ5jA3Q?typeid=9
2022-01-05,2022-01-05,26,1,0,25,0,發佈日期：2022-01-05 中央流行疫情指揮中心今(5)日公布國內新增26例COVID-19確定病例，分別為1例(案17266)本土及25例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/xR3EWQ6aKrqsQwfI_iNxqg?typeid=9
2022-01-06,2022-01-06,43,3,0,40,0,發佈日期：2022-01-06 中央流行疫情指揮中心今(6)日公布國內新增43例COVID-19確定病例，為昨(5)日公布尚未取號的3例本土個案(案17307-17309)及40例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/09VZRAwn1bOg97wX7spbLw?typeid=9
2022-01-07,2022-01-07,62,4,0,58,0,發佈日期：2022-01-07 中央流行疫情指揮中心今(7)日公布國內新增62例COVID-19確定病例，分別為4例本土個案(案17368-17371)及58例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/szV5W2pK70cBBVpTxxghzw?typeid=9
2022-01-08,2022-01-08,44,2,0,42,0,發佈日期：2022-01-08 中央流行疫情指揮中心今(8)日公布國內新增44例COVID-19確定病例，分別為2例本土個案(案17414-17415)及42例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/QcNPHHjaJVEr-bnW4hG5RQ?typeid=9
2022-01-09,2022-01-09,60,11,0,49,0,發佈日期：2022-01-09 中央流行疫情指揮中心今(9)日公布國內新增60例COVID-19確定病例，分別為11例本土個案及49例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/NPmLr1LSFi4UCOINnkDDiw?typeid=9
2022-01-10,2022-01-10,32,6,0,26,0,發佈日期：2022-01-10 中央流行疫情指揮中心今(10)日公布國內新增32例COVID-19確定病例，分別為6例本土個案及26例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/BLTzFri3lYiciwF15SmVqg?typeid=9
2022-01-11,2022-01-11,70,12,0,58,0,發佈日期：2022-01-11 中央流行疫情指揮中心今(11)日公布國內新增70例COVID-19確定病例，分別為12例本土個案及58例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/QoYYwlilK3JpPDQkBKCQBQ?typeid=9
2022-01-12,2022-01-12,96,4,0,92,0,發佈日期：2022-01-12 中央流行疫情指揮中心今(12)日公布國內新增96例COVID-19確定病例，分別為4例本土個案及92例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/x_PFhmBDyMOz2Z-DncSWJA?typeid=9

2022-01-13,2022-01-13,65,14,0,51,1,發佈日期：2022-01-13 中央流行疫情指揮中心今(13)日公布國內新增65例COVID-19確定病例，分別為14例本土個案及51例境外移入；另確診個案中新增1例死亡。,https://www.cdc.gov.tw/Bulletin/Detail/h3mKuY5NZGIpyjrfwjl80w?typeid=9
2022-01-14,2022-01-14,68,11,0,57,0,發佈日期：2022-01-14 中央流行疫情指揮中心今(14)日公布國內新增68例COVID-19確定病例，分別為11例本土個案及57例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/RIhDH4XbQDVh-L2SPVXjqA?typeid=9
2022-01-15,2022-01-15,78,6,0,72,0,發佈日期：2022-01-15 中央流行疫情指揮中心今(15)日公布國內新增78例COVID-19確定病例，分別為6例本土個案及72例境外移入；另確診個案中無新增死亡。,https://www.cdc.gov.tw/Bulletin/Detail/u_qQ9mEWekb8f6zoUpXeKA?typeid=9
